M-user	Temperature	WaterSoftness	Preference
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	X
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Hard	M
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	X
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Medium	M
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
