M-user	Temperature	Preference	WaterSoftness
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	X	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	M	Hard
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	X	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
